GPU,VRAM,Price Amazon July 2023
AMD 5500 XT,4GB,101
AMD 5500 XT,8GB,139
AMD 6600 XT,8GB,279
AMD 6650 XT,8GB,226
AMD 6700,10GB,280
AMD 6700 XT,12GB,349
AMD 6750 XT,12GB,389
AMD 6800,16GB,479
AMD 6800 XT,16GB,499
AMD 6900 XT,16GB,649
AMD 6950 XT,16GB,629
AMD 7900 XT,20GB,787
AMD 7900 XTX,24GB,960
Intel Arc A750,8GB,218
Intel Arc A770,16GB,315
NVIDIA 1060,6GB,200
NVIDIA 2060,12GB,339
NVIDIA 2060 Super,8GB,369
NVIDIA 2070,8GB,399
NVIDIA 2070 Super,8GB,499
NVIDIA 2080,8GB,649
NVIDIA 2080 Super,8GB,649
NVIDIA 2080 Ti,11GB,1400
NVIDIA 3050,8GB,255
NVIDIA 3060,12GB,379
NVIDIA 3060 Ti,8GB,377
NVIDIA 3070,8GB,447
NVIDIA 3070 Ti,8GB,590
NVIDIA 3080,10GB,458
NVIDIA 3080,12GB,899
NVIDIA 3080 Ti,12GB,1199
NVIDIA 3090,24GB,1338
NVIDIA 3090 Ti,24GB,1898
NVIDIA 4060 Ti,8GB,399
NVIDIA 4070,12GB,609
NVIDIA 4070 Ti,12GB,810
NVIDIA 4080,16GB,1200
NVIDIA 4090,24GB,1600
NVIDIA GTX 1660,6GB,240
NVIDIA GTX 1660 Super,6GB,199
NVIDIA GTX 1660 Ti,6GB,299
